ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000001.SH,20161124,3241.736,3237.428,3257.857,3232.869,3241.137,0.599,0.0185,232324527.0,267224712.392
000001.SH,20161125,3261.938,3241.243,3262.438,3209.598,3241.736,20.202,0.6232,233921601.0,259117040.4
000001.SH,20161128,3277.0,3270.047,3288.337,3267.674,3261.938,15.062,0.4618,281551253.0,300460150.894
000001.SH,20161129,3282.924,3269.234,3301.213,3263.397,3277.0,5.924,0.1808,320836287.0,348149349.67
000001.SH,20161130,3250.034,3272.142,3277.269,3239.521,3282.924,-32.89,-1.0019,243576053.0,262808738.181
000001.SH,20161201,3273.309,3257.027,3279.671,3256.256,3250.034,23.275,0.7161,237759864.0,261553934.531
000001.SH,20161202,3243.843,3270.121,3279.714,3235.277,3273.309,-29.466,-0.9002,259567205.0,281559095.557
000001.SH,20161205,3204.709,3203.784,3219.518,3194.879,3243.843,-39.134,-1.2064,223010394.0,238598033.019
000001.SH,20161206,3199.647,3202.029,3215.311,3196.525,3204.709,-5.062,-0.158,157572693.0,177170154.406
000001.SH,20161207,3222.242,3198.475,3222.428,3189.485,3199.647,22.595,0.7062,169072847.0,189443846.603
000001.SH,20161208,3215.366,3225.55,3228.122,3211.471,3222.242,-6.876,-0.2134,170710173.0,197802065.189
000001.SH,20161209,3232.883,3209.34,3244.801,3207.043,3215.366,17.517,0.5448,204023956.0,226387156.318
000001.SH,20161212,3152.97,3233.666,3245.095,3149.896,3232.883,-79.913,-2.4719,274708461.0,294260138.539
000001.SH,20161213,3155.037,3138.988,3162.496,3118.712,3152.97,2.067,0.0656,185164495.0,203175456.917
000001.SH,20161214,3140.531,3149.377,3170.021,3136.348,3155.037,-14.506,-0.4598,201358887.0,219206160.238
000001.SH,20161215,3117.677,3125.757,3138.779,3100.913,3140.531,-22.854,-0.7277,189990626.0,212863239.254
000001.SH,20161216,3122.982,3111.515,3128.874,3106.346,3117.677,5.305,0.1702,164988699.0,189844752.856
