ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ave_change,pred_ave_change,real_trend,pred_trend
601318.SH,20180226,70.99,71.58,69.6,70.8,70.64,0.16,0.23,693840.92,4900094.21,-0.623333333,-0.999958843,-1,-1
601318.SH,20180227,71.02,71.19,69.47,69.81,70.8,-0.99,-1.4,780994.82,5485814.912,-0.71,-0.003539302,-1,0
601318.SH,20180228,69.2,69.24,67.7,67.76,69.81,-2.05,-2.94,782170.46,5354288.636,0.04,0.108045854,0,1
601318.SH,20180301,67.18,69.38,66.88,68.93,67.76,1.17,1.73,663296.17,4535163.832,0.13,-0.291813811,0,0
601318.SH,20180302,68,68.66,67.45,67.68,68.93,-1.25,-1.81,581439.32,3950841.316,0.366666667,0.386520555,1,1
601318.SH,20180305,67.66,68.59,67,67.88,67.68,0.2,0.3,609823.8,4123448.692,0.886666667,0.048540628,1,0
601318.SH,20180306,68.4,69.39,67.4,69.32,67.88,1.44,2.12,657077.23,4498428.233,0.523333333,0.321164081,1,1
601318.SH,20180307,68.98,70.18,68.18,68.78,69.32,-0.54,-0.78,590555.01,4086838.91,0.78,0.424600814,1,1
601318.SH,20180308,69.06,70.84,68.76,70.54,68.78,1.76,2.56,692681.65,4847200.944,-0.373333333,-0.038037823,-1,0
601318.SH,20180309,71,71.46,70.31,70.89,70.54,0.35,0.5,476222,3371832.639,-0.69,-0.375922294,-1,1
601318.SH,20180312,71.6,71.86,70.6,71.12,70.89,0.23,0.32,583351.47,4159385.529,-0.21,-0.629267951,0,0
601318.SH,20180313,71.2,71.35,69.18,69.42,71.12,-1.7,-2.39,609492.27,4270300.75,0.363333333,0.231004282,1,0
601318.SH,20180314,68.85,69.2,68.26,68.82,69.42,-0.6,-0.86,514760.79,3538649.61,1.663333333,0.475664626,1,1
601318.SH,20180315,68.41,70.7,68.4,70.49,68.82,1.67,2.43,627110.86,4389005.513,1.2,0.805913408,1,1
601318.SH,20180316,70.7,71.95,70.45,70.51,70.49,0.02,0.03,701326.23,4999966.474,1.103333333,0.990277607,1,1
601318.SH,20180319,70.89,73.88,70.48,73.81,70.51,3.3,4.68,924499.82,6687346.253,-0.31,-0.186263997,-1,0
601318.SH,20180320,73.1,74.19,72.7,74.09,73.81,0.28,0.38,659778.35,4847776.967,-1.263333333,-0.377814268,-1,-1
601318.SH,20180321,76.7,76.71,73.03,73.82,74.09,-0.27,-0.36,1367485.93,10277152.01,-1.846666667,-1.045398163,-1,-1
601318.SH,20180322,73.51,74.17,71.68,72.88,73.82,-0.94,-1.27,902877.52,6578006.315,-1.573333333,-1.12041886,-1,-1
601318.SH,20180323,70,70.77,69.42,70.3,72.88,-2.58,-3.54,1486954.92,10435410.98,-1.633333333,-0.509591062,-1,0
601318.SH,20180326,69.2,69.97,66.98,68.28,70.3,-2.02,-2.87,1380985.19,9441425.605,-0.63,-0.629804063,-1,0
601318.SH,20180327,69.58,69.66,67.5,68.16,68.28,-0.12,-0.18,1039920.27,7111483.067,-0.95,-0.24886472,-1,-1
601318.SH,20180328,67,67.68,64.88,65.4,68.16,-2.76,-4.05,1420787.82,9380984.826,-0.246666667,-0.279643191,-1,-1
601318.SH,20180329,65.42,67.28,63.51,66.39,65.4,0.99,1.51,1462545.73,9514381.379,-0.626666667,-0.488776818,-1,-1
601318.SH,20180330,66.01,66.27,64.8,65.31,66.39,-1.08,-1.63,842022.51,5499095.858,-0.253333333,-0.108715084,-1,0
601318.SH,20180402,64.25,66.25,64.22,64.66,65.31,-0.65,-1,805559.09,5242356.77,0.433333333,-0.155982286,1,0
601318.SH,20180403,63.95,64.95,63.84,64.51,64.66,-0.15,-0.23,604070.68,3885145.804,1.246666667,0.445461617,1,1
601318.SH,20180404,64.9,65.58,63.98,64.55,64.51,0.04,0.06,679989.53,4414551.485,1.04,1.050939602,1,1
601318.SH,20180409,64.99,65.99,64.05,65.96,64.55,1.41,2.18,716142.85,4679345.562,0.253333333,0.443793673,0,1
601318.SH,20180410,65.69,68.4,65.39,68.25,65.96,2.29,3.47,905139.72,6064986.129,-0.69,-0.476493793,-1,-1
601318.SH,20180411,68.3,68.57,67.48,67.67,68.25,-0.58,-0.85,720924.32,4894354.063,-1.123333333,-0.408015523,-1,-1
601318.SH,20180412,67.91,67.97,66.69,66.72,67.67,-0.95,-1.4,544502.5,3659539.916,-1.196666667,-0.699103448,-1,-1
601318.SH,20180413,67.43,67.45,66.05,66.18,66.72,-0.54,-0.81,466385.74,3114028.929,-0.89,-0.74150435,-1,-1
601318.SH,20180416,66.01,66.66,63.88,64.3,66.18,-1.88,-2.84,809639.57,5244687.54,0.06,-0.230734343,0,0
601318.SH,20180417,64.44,64.86,62.83,63.13,64.3,-1.17,-1.82,831672.88,5312790.696,0.34,0.458651667,1,1
601318.SH,20180418,63.78,63.95,62.6,63.51,63.13,0.38,0.6,764845.49,4841197.668,0.493333333,0.10388281,1,1
601318.SH,20180419,63.9,64.95,63.66,64.48,63.51,0.97,1.53,726473.75,4680959.624,0.693333333,-0.119113927,1,0
601318.SH,20180420,64.2,64.87,63.51,64.15,64.48,-0.33,-0.51,603340.73,3871514.93,0.45,0.723770342,1,0
601318.SH,20180423,64.15,65.16,63.78,64.99,64.15,0.84,1.31,544466.66,3516175.405,-0.623333333,0.119636531,-1,0
601318.SH,20180424,65.4,67.06,65.28,66.56,64.99,1.57,2.42,906954.07,6024928.823,-1.89,-1.140579329,-1,0
601318.SH,20180425,66.04,66.46,65.31,65.5,66.56,-1.06,-1.59,477827.61,3141687.154,-1.386666667,-1.000795543,-1,-1
601318.SH,20180426,65.68,65.89,62.81,63.12,65.5,-2.38,-3.63,841553.82,5364614.954,-0.56,-0.372807511,-1,-1
601318.SH,20180427,63.55,63.73,58.34,60.89,63.12,-2.23,-3.53,2602862.57,15747812.24,-0.06,0.131598707,0,0
601318.SH,20180502,61.36,61.79,60.75,61.34,60.89,0.45,0.74,708908.42,4341690.751,-0.05,-0.150075907,0,0
601318.SH,20180503,60.88,61.58,59.9,61.44,61.34,0.1,0.16,629125.38,3831120.277,0.546666667,-0.322243771,1,0
601318.SH,20180504,61.33,61.64,60.64,60.71,61.44,-0.73,-1.19,441586.75,2694568.405,0.746666667,0.670360264,1,0
601318.SH,20180507,60.55,61.47,59.71,61.19,60.71,0.48,0.79,829447.83,5035372.512,0.663333333,0.63146415,1,1
601318.SH,20180508,61.36,63.88,61.24,63.08,61.19,1.89,3.09,1174720.62,7388303.87,0.006666667,-0.267904849,0,0
601318.SH,20180509,63.1,63.4,62.52,62.95,63.08,-0.13,-0.21,484431,3048008.852,0.383333333,0.009649579,1,0
601318.SH,20180510,63.3,63.75,62.61,63.18,62.95,0.23,0.37,498178.32,3143778.292,0.263333333,0.328462362,1,1
601318.SH,20180511,63.58,63.66,62.81,63.1,63.18,-0.08,-0.13,452105.51,2859210.137,-0.096666667,0.210868553,0,0
601318.SH,20180514,63.7,64.58,63.5,64.1,63.1,1,1.58,683709.16,4387898.493,-0.7,-0.481907114,-1,-1
601318.SH,20180515,64.5,64.59,63.4,63.97,64.1,-0.13,-0.2,529529.16,3376776.321,-0.31,-0.511340047,-1,-1
601318.SH,20180516,63.68,63.92,62.63,62.81,63.97,-1.16,-1.81,559514.39,3539081.154,0.283333333,0.113149625,1,0
601318.SH,20180517,63.09,63.19,61.94,62,62.81,-0.81,-1.29,477782.23,2981258.093,0.336666667,0.414816005,1,1
601318.SH,20180518,61.88,63.12,61.59,63.04,62,1.04,1.68,566253.26,3532704.058,-0.426666667,-0.250356558,-1,-1
601318.SH,20180521,63.55,64.15,63.27,63.66,63.04,0.62,0.98,705065.71,4492367.179,-0.813333333,-0.651149938,-1,-1
601318.SH,20180522,63.58,63.84,62.5,63.01,63.66,-0.65,-1.02,437692.14,2757950.408,-0.493333333,-0.418121765,-1,0
601318.SH,20180523,62.95,62.95,61.67,61.76,63.01,-1.25,-1.98,569154.52,3531232.659,0.246666667,-0.052974715,0,0
601318.SH,20180524,61.96,62.27,61.16,61.22,61.76,-0.54,-0.87,441513.27,2725820.768,0.386666667,0.24912297,1,0
601318.SH,20180525,61.38,62.18,61.34,61.53,61.22,0.31,0.51,353929.69,2183913.985,-0.293333333,0.085728862,-1,0
601318.SH,20180528,61.8,62.88,61.55,62.5,61.53,0.97,1.58,458948.75,2861428.758,-0.123333333,-0.592622647,0,-1
601318.SH,20180529,62.32,62.66,61.3,62.38,62.5,-0.12,-0.19,636474.46,3944873.803,-0.246666667,0.075180212,-1,0
601318.SH,20180530,61.31,61.7,60.58,60.65,62.38,-1.73,-2.77,490836.64,2998177.225,0.96,0.221438827,1,0
601318.SH,20180531,61.11,62.18,60.71,62.13,60.65,1.48,2.44,665388.31,4096852.001,0.816666667,0.288615586,1,1
601318.SH,20180601,61.91,62.19,61.28,61.64,62.13,-0.49,-0.79,408007.64,2516195.954,0.723333333,0.782423089,1,1
601318.SH,20180604,62.1,63.71,61.9,63.53,61.64,1.89,3.07,858897.4,5418564.799,0.303333333,-0.031279355,1,-1
601318.SH,20180605,63.59,65,63.21,64.58,63.53,1.05,1.65,885172.55,5683935.967,-0.33,0.011974611,-1,0
601318.SH,20180606,64.43,64.45,63.71,63.81,64.58,-0.77,-1.19,490220.28,3140622.782,0.14,-0.143101981,0,0
601318.SH,20180607,63.27,64.54,63.02,63.24,62.61,0.63,1.01,746266.79,4763077.383,0.22,-0.198915403,0,0
601318.SH,20180608,62.97,63.24,61.95,62.39,63.24,-0.85,-1.34,579391.37,3617103.478,0.453333333,0.372516208,1,1
601318.SH,20180611,62.25,63.2,61.85,63.03,62.39,0.64,1.03,512803.13,3204236.377,0.47,0.192879607,1,0
601318.SH,20180612,63.2,64.25,62.82,63.9,63.03,0.87,1.38,763559.25,4866437.06,0.243333333,0.041606053,0,0
601318.SH,20180613,63.8,63.91,63.35,63.75,63.9,-0.15,-0.23,459053.26,2922589.416,-0.553333333,0.189357481,-1,0
601318.SH,20180614,63.58,65.35,63.45,64.44,63.75,0.69,1.08,798484.71,5164445.267,-0.863333333,-0.781034758,-1,-1
601318.SH,20180615,64.1,65.16,64.02,64.63,64.44,0.19,0.29,666582.72,4315505.697,-1.18,-0.754589398,-1,-1
601318.SH,20180619,63.8,64.2,61.8,62.09,64.63,-2.54,-3.93,1278263.6,8087342.652,-0.34,-0.366562167,-1,-1
601318.SH,20180620,61.9,62.54,60.78,61.85,62.09,-0.24,-0.39,743195.22,4589333.023,-0.686666667,-0.077162836,-1,0
601318.SH,20180621,61.86,62.56,61,61.09,61.85,-0.76,-1.23,605493.96,3743256.874,-0.616666667,-0.436928514,-1,-1
601318.SH,20180622,60.6,61.5,60.6,61.07,61.09,-0.02,-0.03,465376.39,2837582.693,-1.19,-0.683363363,-1,-1
601318.SH,20180625,61.28,61.35,59.6,59.79,61.07,-1.28,-2.1,607496.72,3673033.33,-0.986666667,-0.531817858,-1,-1
601318.SH,20180626,59.1,59.61,57.8,59.24,59.79,-0.55,-0.92,717927.64,4222114.929,-0.22,-0.517665458,0,0
601318.SH,20180627,59.1,59.45,57.44,57.5,59.24,-1.74,-2.94,697084.1,4051818.403,-0.76,0.250448442,-1,0
601318.SH,20180628,57.11,57.95,56.53,56.83,57.5,-0.67,-1.17,735991.24,4196752.214,-0.163333333,-0.459842982,0,0
601318.SH,20180629,57.12,58.63,57.1,58.58,56.83,1.75,3.08,645112.04,3729377.8,-1.02,-0.511862522,-1,0
601318.SH,20180702,58.28,58.28,54.65,55.22,58.58,-3.36,-5.74,900189.16,5082587.156,0.103333333,-0.054757207,0,0
601318.SH,20180703,55.6,56.56,54.33,56.34,55.22,1.12,2.03,949167.01,5276896.813,0.2,0.074658906,0,0
601318.SH,20180704,56.23,56.88,55.37,55.52,56.34,-0.82,-1.46,519493.68,2909529.851,1.12,0.340178885,1,1
